AGNO	RBD	DGV_RBD	NOM_RBD	MRUN	RUT_SOSTENEDOR	P_JURIDICA	COD_REG_RBD	NOM_REG_RBD_A	COD_PRO_RBD	COD_COM_RBD	NOM_COM_RBD	COD_DEPROV_RBD	NOM_DEPROV_RBD	COD_DEPE	COD_DEPE2	RURAL_RBD	LATITUD	LONGITUD	CONVENIO_PIE	ENS_01	ENS_02	ENS_03	ENS_04	ENS_05	ENS_06	ENS_07	ENS_08	ENS_09	ENS_10	ENS_11	MATRICULA	ESTADO_ESTAB	ORI_RELIGIOSA	ORI_OTRO_GLOSA	PAGO_MATRICULA	PAGO_MENSUAL
2019	1239	4	ESCUELA HERMANO FERNANDO DE LA FUENTE		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,676624300000	-70,536010740000	0	110	0	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1240	8	ESCUELA RIO COLORADO		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,861919400000	-70,422500610000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1243	2	ESCUELA EL COBRE		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,744079590000	-70,578460690000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1244	0	ESCUELA SAN FRANCISCO		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,762207030000	-70,501564030000	0	110	0	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1245	9	ESCUELA EL CORAZON		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	0	-32,807125090000	-70,559822080000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1246	7	ESCUELA BÁSICA LIBERTAD		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	0	-32,775791170000	-70,564659120000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1247	5	ESCUELA BASICA MARIA ISABEL DE BROWN		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	0	-32,872203830000	-70,651504520000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1248	3	ESCUELA BASICA LA PAMPILLA		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	0	-32,858547210000	-70,624114990000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1249	1	ESCUELA BASICA PEDRO AGUIRRE CERDA		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	0	-32,868949890000	-70,619430540000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1250	5	ESCUELA VICTOR KOERNER		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	0	-32,843189240000	-70,613235470000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	SIN INFORMACION
2019	1251	3	ESCUELA BASICA CRISTO REDENTOR		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	1	-32,887722020000	-70,591690060000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1252	1	ESCUELA BASICA VALLE ALEGRE		69051200.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	2	1	0	-32,857368470000	-70,662666320000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	SIN INFORMACION
2019	1255	6	INSTITUTO AGRICOLA PASCUAL BABURIZZA		81882100.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	3	2	0	-32,878819430000	-70,588901340000	0	110	710	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1256	4	COLEGIO PARTICULAR SAN JOSE		65155616.0	1	5	VALPO	53	5302	CALLE LARGA	52	LOS ANDES	3	2	0	-32,856899210000	-70,628226030000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1257	2	CENTRO DE FORMACIÓN ACADÉMICA PERFECTO DE LA FUENTE DEL VILLAR		69051300.0	1	5	VALPO	53	5303	RINCONADA	52	LOS ANDES	2	1	0	-32,832927700000	-70,691696170000	1	10	110	165	363	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1258	0	ESCUELA BASICA EMIGDIO GALDAMES ROBLES		69051300.0	1	5	VALPO	53	5303	RINCONADA	52	LOS ANDES	2	1	0	-32,872306820000	-70,679641720000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1259	9	ESCUELA BASICA MANUEL LEON SALINAS		69051300.0	1	5	VALPO	53	5303	RINCONADA	52	LOS ANDES	2	1	0	-32,859432220000	-70,694656370000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1260	2	LICEO PARROQUIAL TERESITA DE LOS ANDES		70313005.0	1	5	VALPO	53	5303	RINCONADA	52	LOS ANDES	3	2	0	-32,840530650000	-70,686816910000	1	10	110	310	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1261	0	LICEO DOCTOR ROBERTO HUMERES O.		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,748626710000	-70,725761410000	1	110	310	410	510	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1263	7	LICEO DE NINAS CORINA URBINA		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,750270840000	-70,718475340000	1	10	110	310	610	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1264	5	LICEO SAN FELIPE		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,744121550000	-70,737976070000	1	10	110	310	510	610	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1265	3	ESCUELA BASICA BERNARDO O HIGGINS R.		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,742179870000	-70,724174500000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1266	1	ESCUELA MANUEL RODRIGUEZ ERDOIZA		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,757770540000	-70,727111820000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1268	8	ESCUELA BASICA JOSE DE SAN MARTIN		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,752933500000	-70,722991940000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1269	6	ESCUELA JOHN F KENNEDY		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,749977110000	-70,714096070000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1271	8	ESCUELA JOSÉ ANTONIO MANSO DE VELASCO		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,745105740000	-70,728904720000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	7	LAICO	GRATUITO	GRATUITO
2019	1273	4	ESCUELA SAN RAFAEL		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,808643340000	-70,650047300000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1274	2	ESCUELA ALMENDRAL		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,751621250000	-70,690925600000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1275	0	ESCUELA BUEN PASTOR		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,755363460000	-70,720977780000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1279	3	ESCUELA CARMELA CARVAJAL DE PRAT		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,785594940000	-70,685729980000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1280	7	ESCUELA 21 DE MAYO		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,694328310000	-70,765213010000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1281	5	ESCUELA REPUBLICA ARGENTINA		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	0	-32,764324190000	-70,682510380000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1282	3	ESCUELA BUCALEMITO		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,808391570000	-70,685112000000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1283	1	ESCUELA HERIBERTO BERMUDEZ CRUZ		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,715515140000	-70,726089480000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1285	8	ESCUELA MATEO COKLJAT K		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,786804200000	-70,714065550000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1286	6	ESCUELA BASICA CAROLINA OCAMPO GARCIA		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,721996310000	-70,774177550000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1287	4	ESCUELA JOSE BERNARDO SUAREZ		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,711349490000	-70,746185300000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1288	2	INSTITUTO ABDON CIFUENTES			9	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	4	3	0	-32,753392000000	-70,723820000000	0	10	110	310	0	0	0	0	0	0	0	0	1	1	2		MAS DE $100.000	MAS DE $100.000
2019	1290	4	COLEGIO SANTA JUANA DE ARCO		81795157.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	3	2	0	-32,751784640000	-70,728688020000	1	10	110	310	0	0	0	0	0	0	0	0	1	1	2		$1.000 A $10.000	$25.001 A $50.000
2019	1291	2	COLEGIO JOSE AGUSTIN GOMEZ		70015600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	3	2	0	-32,746392220000	-70,726462360000	0	10	110	310	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	$10.001 A $25.000
2019	1292	0	COLEGIO ALONSO DE ERCILLA		65150333.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	3	2	0	-32,747591290000	-70,725273780000	0	10	110	310	410	0	0	0	0	0	0	0	1	1	2		$1.000 A $10.000	$25.001 A $50.000
